Numero,Sesso,Data di Nascita,Ora Nascita,Comune Nascita,Sigla Provincia o Stato Nascita,Comune Residenza,Sigla Provincia o Stato Residenza,Data Atto,Giorno Nascita,Giorno Settimana,Mese Nascita,Fascia Oraria
370,F,2024-08-16,12:11,Foggia,FG,Manfredonia,FG,2024-08-13,16,Venerd ,Agosto,Pomeriggio (12:00 - 17:59)
371,M,2024-08-15,12:11,Foggia,FG,Spreitenbach,CH,2024-08-13,15,Gioved ,Agosto,Pomeriggio (12:00 - 17:59)
372,M,2024-08-19,12:35,Foggia,FG,Troia,FG,2024-08-14,19,Luned ,Agosto,Pomeriggio (12:00 - 17:59)
373,M,2024-08-19,09:49,Foggia,FG,San Nicandro Garganico,FG,2024-08-19,19,Luned ,Agosto,Mattina (06:00 - 11:59)
374,M,2024-08-19,16:32,Foggia,FG, Ascoli Satriano,FG,2024-08-19,19,Luned ,Agosto,Pomeriggio (12:00 - 17:59)
375,M,2024-08-20,14:34,Foggia,FG,Ascoli Satriano,FG,2024-08-19,20,Marted ,Agosto,Pomeriggio (12:00 - 17:59)
376,M,2024-08-22,00:28,Foggia,FG,Orta Nova,FG,2024-08-19,22,Gioved ,Agosto,Notte (00:00 - 05:59)
377,F,2024-08-23,06:59,Foggia,FG,San Severo,FG,2024-08-19,23,Venerd ,Agosto,Mattina (06:00 - 11:59)
378,F,2024-08-21,15:46,Foggia,FG,Civitavecchia,RM,2024-08-20,21,Mercoled ,Agosto,Pomeriggio (12:00 - 17:59)
379,M,2024-08-22,16:15,Foggia,FG,San Severo,FG,2024-08-20,22,Gioved ,Agosto,Pomeriggio (12:00 - 17:59)
380,M,2024-08-24,13:04,Foggia,FG,Troia,FG,2024-08-21,24,Sabato,Agosto,Pomeriggio (12:00 - 17:59)
381,F,2024-08-26,17:56,Foggia,FG,Non Disponibile,Non Disponibile,2024-08-22,26,Luned ,Agosto,Pomeriggio (12:00 - 17:59)
382,M,2024-08-26,11:20,Foggia,FG,Stornara,FG,2024-08-22,26,Luned ,Agosto,Mattina (06:00 - 11:59)
